id,orig_street,orig_suburb,orig_state,orig_postcode,orig_country,dest_street,dest_suburb,dest_state,dest_postcode,dest_country,mode,transit_mode,transit_routing_preference,avoid,year,month,day,hour,minute,time_zone,traffic_model,orig_output,dest_output,duration (minutes),distance (km),average_speed (km/hr)
37,,BELMONT,QLD,4153,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Belmont QLD 4153, Australia","Brisbane City QLD 4000, Australia",24.083333333333332,16.158,40.255224913494814
38,,BERRINBA,QLD,4117,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Berrinba QLD 4117, Australia","Brisbane City QLD 4000, Australia",22.866666666666667,26.951,70.71690962099126
39,,BETHANIA,QLD,4205,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bethania QLD 4205, Australia","Brisbane City QLD 4000, Australia",31.116666666666667,32.918,63.47337975361542
40,,BIRKDALE,QLD,4159,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Birkdale QLD 4159, Australia","Brisbane City QLD 4000, Australia",35.233333333333334,26.802,45.642005676442764
41,,BONGAREE,QLD,4507,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bongaree QLD 4507, Australia","Brisbane City QLD 4000, Australia",64.18333333333334,68.78,64.2970656972215
42,,BOONDALL,QLD,4034,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Boondall QLD 4034, Australia","Brisbane City QLD 4000, Australia",22.666666666666668,18.472,48.89647058823529
43,,BORONIA HEIGHTS,QLD,4124,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Boronia Heights QLD 4124, Australia","Brisbane City QLD 4000, Australia",28.0,31.5,67.5
44,,BOWEN HILLS,QLD,4006,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bowen Hills QLD 4006, Australia","Brisbane City QLD 4000, Australia",13.233333333333333,4.106,18.61662468513854
45,,BRACALBA,QLD,4512,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bracalba QLD 4512, Australia","Brisbane City QLD 4000, Australia",61.0,66.993,65.89475409836065
46,,BRACKEN RIDGE,QLD,4017,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bracken Ridge QLD 4017, Australia","Brisbane City QLD 4000, Australia",32.083333333333336,31.494,58.89787012987013
47,,BRAY PARK,QLD,4500,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bray Park QLD 4500, Australia","Brisbane City QLD 4000, Australia",36.96666666666667,23.875,38.75112714156898
48,,BRENDALE,QLD,4500,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Brendale QLD 4500, Australia","Brisbane City QLD 4000, Australia",32.96666666666667,20.782,37.823660262891806
49,,BRIBIE ISLAND,QLD,4507,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bribie Island, Queensland 4507, Australia","Brisbane City QLD 4000, Australia",88.65,81.408,55.098477157360406
50,,BRIDGEMAN DOWNS,QLD,4035,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bridgeman Downs QLD 4035, Australia","Brisbane City QLD 4000, Australia",29.166666666666668,18.773,38.618742857142855
51,,BRIGHTON,QLD,4017,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Brighton QLD 4017, Australia","Brisbane City QLD 4000, Australia",32.63333333333333,25.282,46.483758937691526
52,,BRIGHTON EVENTIDE,QLD,4017,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"469 hhormibrook hwy, Brighton QLD 4017, Australia","Brisbane City QLD 4000, Australia",30.933333333333334,24.149,46.84073275862069
53,,BRISBANE AIRPORT,QLD,4008,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Brisbane Airport QLD 4008, Australia","Brisbane City QLD 4000, Australia",19.733333333333334,18.88,57.4054054054054
55,,BROOKFIELD,QLD,4069,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Brookfield QLD 4069, Australia","Brisbane City QLD 4000, Australia",29.283333333333335,20.576,42.15913488901537
56,,BROOKSIDE CENTRE,QLD,4053,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"159 Osborne Rd, Mitchelton QLD 4053, Australia","Brisbane City QLD 4000, Australia",18.533333333333335,9.889,32.01474820143884
57,,BROWNS PLAINS,QLD,4118,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Browns Plains QLD 4118, Australia","Brisbane City QLD 4000, Australia",26.566666666666666,28.927,65.33074027603513
58,,BUCCAN,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Buccan QLD 4207, Australia","Brisbane City QLD 4000, Australia",35.78333333333333,39.319,65.92845831392641
59,,BULIMBA,QLD,4171,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bulimba QLD 4171, Australia","Brisbane City QLD 4000, Australia",20.183333333333334,9.003,26.763666391412055
60,,BULWER,QLD,4025,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bulwer QLD 4025, Australia","Brisbane City QLD 4000, Australia",149.91666666666666,76.293,30.534163424124518
61,,BUNYA,QLD,4055,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bunya QLD 4055, Australia","Brisbane City QLD 4000, Australia",29.716666666666665,18.989,38.340100953449245
62,,BURANDA,QLD,4102,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Buranda, Gillingham St, Woolloongabba QLD 4102, Australia","Brisbane City QLD 4000, Australia",8.8,5.112,34.85454545454545
63,,BURBANK,QLD,4156,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Burbank QLD 4156, Australia","Brisbane City QLD 4000, Australia",24.066666666666666,21.012,52.38448753462605
64,,BURPENGARY,QLD,4505,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Burpengary QLD 4505, Australia","Brisbane City QLD 4000, Australia",44.21666666666667,41.309,56.05442894836034
65,,BURPENGARY DC,QLD,4505,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"16-18/17-21 Progress Rd, Burpengary QLD 4505, Australia","Brisbane City QLD 4000, Australia",43.4,41.221,56.98755760368664
66,,CABOOLTURE,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Caboolture QLD 4510, Australia","Brisbane City QLD 4000, Australia",49.65,54.4,65.74018126888217
67,,CABOOLTURE SOUTH,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Caboolture South QLD 4510, Australia","Brisbane City QLD 4000, Australia",50.78333333333333,49.235,58.17065966524451
68,,CALAMVALE,QLD,4116,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Calamvale QLD 4116, Australia","Brisbane City QLD 4000, Australia",24.666666666666668,19.494,47.41783783783783
69,,CAMP HILL,QLD,4152,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Camp Hill QLD 4152, Australia","Brisbane City QLD 4000, Australia",14.7,8.816,35.98367346938776
70,,CAMP MOUNTAIN,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Camp Mountain QLD 4520, Australia","Brisbane City QLD 4000, Australia",32.15,22.187,41.40653188180405
71,,CAMPBELLS POCKET,QLD,4521,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Campbells Pocket QLD 4521, Australia","Brisbane City QLD 4000, Australia",64.21666666666667,71.025,66.36127692706981
72,,CANNON HILL,QLD,4170,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Cannon Hill QLD 4170, Australia","Brisbane City QLD 4000, Australia",18.3,10.4,34.09836065573771
73,,CAPALABA,QLD,4157,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Capalaba QLD 4157, Australia","Brisbane City QLD 4000, Australia",28.8,21.434,44.65416666666667
74,,CAPALABA DC,QLD,4157,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Capalaba Park Shopping Centre, 59 45/7 Redland Bay Rd, Capalaba QLD 4157, Australia","Brisbane City QLD 4000, Australia",27.9,21.28,45.763440860215056
75,,CAPALABA WEST,QLD,4157,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Capalaba QLD 4157, Australia","Brisbane City QLD 4000, Australia",28.8,21.434,44.65416666666667
76,,CARBROOK,QLD,4130,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Carbrook QLD 4130, Australia","Brisbane City QLD 4000, Australia",31.683333333333334,39.157,74.15318253550761
77,,CARINA,QLD,4152,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Carina QLD 4152, Australia","Brisbane City QLD 4000, Australia",18.016666666666666,10.342,34.44144310823312
78,,CARINA HEIGHTS,QLD,4152,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Carina Heights QLD 4152, Australia","Brisbane City QLD 4000, Australia",17.333333333333332,10.675,36.95192307692308
79,,CARINDALE,QLD,4152,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Carindale QLD 4152, Australia","Brisbane City QLD 4000, Australia",20.333333333333332,13.849,40.865901639344266
80,,CARSELDINE,QLD,4034,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Carseldine QLD 4034, Australia","Brisbane City QLD 4000, Australia",24.45,17.693,43.418404907975464
81,,CASHMERE,QLD,4500,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Cashmere QLD 4500, Australia","Brisbane City QLD 4000, Australia",44.7,28.625,38.42281879194631
82,,CEDAR CREEK,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Cedar Creek QLD 4207, Australia","Brisbane City QLD 4000, Australia",39.78333333333333,50.712,76.48227901131128
83,,CEDAR CREEK,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Cedar Creek QLD 4520, Australia","Brisbane City QLD 4000, Australia",42.81666666666667,32.812,45.980225768781615
84,,CHAMBERS FLAT,QLD,4133,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Chambers Flat QLD 4133, Australia","Brisbane City QLD 4000, Australia",36.71666666666667,39.677,64.83758511121198
85,,CHANDLER,QLD,4155,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Chandler QLD 4155, Australia","Brisbane City QLD 4000, Australia",24.066666666666666,17.852,44.506371191135734
86,,CHAPEL HILL,QLD,4069,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Chapel Hill QLD 4069, Australia","Brisbane City QLD 4000, Australia",23.816666666666666,15.44,38.897130860741775
87,,CHELMER,QLD,4068,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Chelmer QLD 4068, Australia","Brisbane City QLD 4000, Australia",19.983333333333334,11.899,35.726772310258546
88,,CHERMSIDE,QLD,4032,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Chermside QLD 4032, Australia","Brisbane City QLD 4000, Australia",17.6,12.813,43.68068181818182
89,,CHERMSIDE SOUTH,QLD,4032,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Chermside QLD 4032, Australia","Brisbane City QLD 4000, Australia",17.6,12.813,43.68068181818182
90,,CHERMSIDE WEST,QLD,4032,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Chermside West QLD 4032, Australia","Brisbane City QLD 4000, Australia",20.933333333333334,15.481,44.372292993630566
